date,park_id,ride,avg_queue_min,max_queue_min,uptime_pct
2023-01-01,160,Anton Pieck Plein,,,99.0
2023-01-01,160,Archipel,,,65.0
2023-01-01,160,Badhuys indoor splash pool,,,100.0
2023-01-01,160,Baron 1898,5.0,10.0,100.0
2023-01-01,160,Baron 1898 Single-rider,,,0.0
2023-01-01,160,Carnaval Festival,5.0,5.0,100.0
2023-01-01,160,De Oude Tufferbaan,11.0,20.0,99.0
2023-01-01,160,De Vliegende Hollander,9.0,25.0,100.0
2023-01-01,160,De Vliegende Hollander Single-rider,,,0.0
2023-01-01,160,Diorama,,,100.0
2023-01-01,160,Droomvlucht,,,0.0
2023-01-01,160,Droomvlucht VR,,,0.0
2023-01-01,160,Efteling Museum,,,89.0
2023-01-01,160,Fabula,10.0,10.0,100.0
2023-01-01,160,Fairytale Forest,,,99.0
2023-01-01,160,Fata Morgana,5.0,10.0,100.0
2023-01-01,160,Gondoletta,,,62.0
2023-01-01,160,Halve Maen,5.0,5.0,99.0
2023-01-01,160,Joris en de Draak,,,0.0
2023-01-01,160,Joris en de Draak Single-rider,,,0.0
2023-01-01,160,Kinderspoor,10.0,10.0,99.0
2023-01-01,160,Kindervreugd,,,99.0
2023-01-01,160,Kleuterhof,,,100.0
2023-01-01,160,Max & Moritz,5.0,5.0,100.0
2023-01-01,160,Max & Moritz Single-rider,,,0.0
2023-01-01,160,Monorail,6.0,20.0,99.0
2023-01-01,160,Nest!,,,99.0
2023-01-01,160,Pagode,5.0,10.0,99.0
2023-01-01,160,Piraña,,,99.0
2023-01-01,160,Python,12.0,30.0,98.0
2023-01-01,160,Python Single-rider,,,0.0
2023-01-01,160,Sirocco,5.0,10.0,100.0
2023-01-01,160,Stoomcarrousel,,,100.0
2023-01-01,160,Stoomtrein Marerijk,20.0,25.0,99.0
2023-01-01,160,Stoomtrein Ruigrijk,20.0,25.0,99.0
2023-01-01,160,Symbolica,13.0,25.0,99.0
2023-01-01,160,Symbolica Single-rider,,,0.0
2023-01-01,160,The Six Swans,5.0,10.0,99.0
2023-01-01,160,Villa Volta,5.0,5.0,100.0
2023-01-01,160,Vogel Rok,5.0,15.0,100.0
2023-01-01,160,Volkvanlaaf,,,99.0
2023-01-02,160,Anton Pieck Plein,,,99.0
2023-01-02,160,Archipel,,,65.0
2023-01-02,160,Badhuys indoor splash pool,,,100.0
2023-01-02,160,Baron 1898,18.0,45.0,100.0
2023-01-02,160,Baron 1898 Single-rider,12.0,30.0,78.0
2023-01-02,160,Carnaval Festival,10.0,25.0,100.0
2023-01-02,160,De Oude Tufferbaan,14.0,25.0,88.0
2023-01-02,160,De Vliegende Hollander,28.0,45.0,80.0
2023-01-02,160,De Vliegende Hollander Single-rider,12.0,30.0,52.0
2023-01-02,160,Diorama,,,100.0
2023-01-02,160,Droomvlucht,,,0.0
2023-01-02,160,Droomvlucht VR,,,0.0
2023-01-02,160,Efteling Museum,,,89.0
2023-01-02,160,Fabula,9.0,10.0,99.0
2023-01-02,160,Fairytale Forest,,,99.0
2023-01-02,160,Fata Morgana,9.0,30.0,100.0
2023-01-02,160,Gondoletta,5.0,5.0,61.0
2023-01-02,160,Halve Maen,15.0,20.0,99.0
2023-01-02,160,Joris en de Draak,,,0.0
2023-01-02,160,Joris en de Draak Single-rider,,,0.0
2023-01-02,160,Kinderspoor,10.0,10.0,99.0
2023-01-02,160,Kindervreugd,,,99.0
2023-01-02,160,Kleuterhof,,,100.0
2023-01-02,160,Max & Moritz,10.0,30.0,100.0
2023-01-02,160,Max & Moritz Single-rider,6.0,20.0,97.0
2023-01-02,160,Monorail,11.0,20.0,99.0
2023-01-02,160,Nest!,,,99.0
2023-01-02,160,Pagode,5.0,10.0,96.0
2023-01-02,160,Piraña,5.0,5.0,99.0
2023-01-02,160,Python,18.0,40.0,85.0
2023-01-02,160,Python Single-rider,14.0,50.0,50.0
2023-01-02,160,Sirocco,9.0,20.0,99.0
2023-01-02,160,Stoomcarrousel,,,100.0
2023-01-02,160,Stoomtrein Marerijk,25.0,25.0,99.0
2023-01-02,160,Stoomtrein Ruigrijk,25.0,25.0,99.0
2023-01-02,160,Symbolica,28.0,40.0,96.0
2023-01-02,160,Symbolica Single-rider,8.0,10.0,4.0
2023-01-02,160,The Six Swans,8.0,20.0,98.0
2023-01-02,160,Villa Volta,6.0,10.0,99.0
2023-01-02,160,Vogel Rok,13.0,25.0,100.0
2023-01-02,160,Volkvanlaaf,,,99.0
2023-01-03,160,Anton Pieck Plein,,,99.0
2023-01-03,160,Archipel,,,70.0
2023-01-03,160,Badhuys indoor splash pool,,,100.0
2023-01-03,160,Baron 1898,48.0,80.0,100.0
2023-01-03,160,Baron 1898 Single-rider,35.0,55.0,99.0
2023-01-03,160,Carnaval Festival,41.0,80.0,100.0
2023-01-03,160,De Oude Tufferbaan,27.0,45.0,99.0
2023-01-03,160,De Vliegende Hollander,44.0,55.0,100.0
2023-01-03,160,De Vliegende Hollander Single-rider,28.0,45.0,81.0
2023-01-03,160,Diorama,,,100.0
2023-01-03,160,Droomvlucht,,,0.0
2023-01-03,160,Droomvlucht VR,,,0.0
2023-01-03,160,Efteling Museum,,,89.0
