date,park_id,ride,avg_queue_min,max_queue_min,uptime_pct,crowd_percent,crowd_label,temperature_forecast,temperature_actual,rain_forecast,rain_actual,wind_forecast,wind_actual,events
2023-01-01,160,Baron 1898,5,10,100,13,Empty,11.8,12.3,0.21,0.13,6.7,6.4,🎄 Winter Efteling
2023-01-01,160,Baron 1898 Single-rider,NA,NA,0,13,Empty,11.8,12.3,0.21,0.13,6.7,6.4,🎄 Winter Efteling
2023-01-01,160,Carnaval Festival,5,5,100,13,Empty,11.8,12.3,0.21,0.13,6.7,6.4,🎄 Winter Efteling
2023-01-01,160,De Oude Tufferbaan,11,20,99,13,Empty,11.8,12.3,0.21,0.13,6.7,6.4,🎄 Winter Efteling
2023-01-01,160,De Vliegende Hollander,9,25,100,13,Empty,11.8,12.3,0.21,0.13,6.7,6.4,🎄 Winter Efteling
2023-01-01,160,De Vliegende Hollander Single-rider,NA,NA,0,13,Empty,11.8,12.3,0.21,0.13,6.7,6.4,🎄 Winter Efteling
2023-01-01,160,Droomvlucht,NA,NA,0,13,Empty,11.8,12.3,0.21,0.13,6.7,6.4,🎄 Winter Efteling
2023-01-01,160,Fabula,10,10,100,13,Empty,11.8,12.3,0.21,0.13,6.7,6.4,🎄 Winter Efteling
2023-01-01,160,Fata Morgana,5,10,100,13,Empty,11.8,12.3,0.21,0.13,6.7,6.4,🎄 Winter Efteling
2023-01-01,160,Gondoletta,NA,NA,62,13,Empty,11.8,12.3,0.21,0.13,6.7,6.4,🎄 Winter Efteling
2023-01-01,160,Halve Maen,5,5,99,13,Empty,11.8,12.3,0.21,0.13,6.7,6.4,🎄 Winter Efteling
2023-01-01,160,Joris en de Draak,NA,NA,0,13,Empty,11.8,12.3,0.21,0.13,6.7,6.4,🎄 Winter Efteling
2023-01-01,160,Joris en de Draak Single-rider,NA,NA,0,13,Empty,11.8,12.3,0.21,0.13,6.7,6.4,🎄 Winter Efteling
2023-01-01,160,Kinderspoor,10,10,99,13,Empty,11.8,12.3,0.21,0.13,6.7,6.4,🎄 Winter Efteling
2023-01-01,160,Max & Moritz,5,5,100,13,Empty,11.8,12.3,0.21,0.13,6.7,6.4,🎄 Winter Efteling
2023-01-01,160,Max & Moritz Single-rider,NA,NA,0,13,Empty,11.8,12.3,0.21,0.13,6.7,6.4,🎄 Winter Efteling
2023-01-01,160,Monorail,6,20,99,13,Empty,11.8,12.3,0.21,0.13,6.7,6.4,🎄 Winter Efteling
2023-01-01,160,Pagode,5,10,99,13,Empty,11.8,12.3,0.21,0.13,6.7,6.4,🎄 Winter Efteling
2023-01-01,160,Piraña,NA,NA,99,13,Empty,11.8,12.3,0.21,0.13,6.7,6.4,🎄 Winter Efteling
2023-01-01,160,Python,12,30,98,13,Empty,11.8,12.3,0.21,0.13,6.7,6.4,🎄 Winter Efteling
2023-01-01,160,Python Single-rider,NA,NA,0,13,Empty,11.8,12.3,0.21,0.13,6.7,6.4,🎄 Winter Efteling
2023-01-01,160,Sirocco,5,10,100,13,Empty,11.8,12.3,0.21,0.13,6.7,6.4,🎄 Winter Efteling
2023-01-01,160,Stoomcarrousel,NA,NA,100,13,Empty,11.8,12.3,0.21,0.13,6.7,6.4,🎄 Winter Efteling
2023-01-01,160,Stoomtrein Marerijk,20,25,99,13,Empty,11.8,12.3,0.21,0.13,6.7,6.4,🎄 Winter Efteling
2023-01-01,160,Stoomtrein Ruigrijk,20,25,99,13,Empty,11.8,12.3,0.21,0.13,6.7,6.4,🎄 Winter Efteling
2023-01-01,160,Symbolica,13,25,99,13,Empty,11.8,12.3,0.21,0.13,6.7,6.4,🎄 Winter Efteling
2023-01-01,160,Symbolica Single-rider,NA,NA,0,13,Empty,11.8,12.3,0.21,0.13,6.7,6.4,🎄 Winter Efteling
2023-01-01,160,Villa Volta,5,5,100,13,Empty,11.8,12.3,0.21,0.13,6.7,6.4,🎄 Winter Efteling
2023-01-01,160,Vogel Rok,5,15,100,13,Empty,11.8,12.3,0.21,0.13,6.7,6.4,🎄 Winter Efteling
2023-01-02,160,Baron 1898,18,45,100,45,Quiet,8.8,8.8,0.21,0.31,4.8,4.9,🎄 Winter Efteling
2023-01-02,160,Baron 1898 Single-rider,12,30,78,45,Quiet,8.8,8.8,0.21,0.31,4.8,4.9,🎄 Winter Efteling
2023-01-02,160,Carnaval Festival,10,25,100,45,Quiet,8.8,8.8,0.21,0.31,4.8,4.9,🎄 Winter Efteling
2023-01-02,160,De Oude Tufferbaan,14,25,88,45,Quiet,8.8,8.8,0.21,0.31,4.8,4.9,🎄 Winter Efteling
2023-01-02,160,De Vliegende Hollander,28,45,80,45,Quiet,8.8,8.8,0.21,0.31,4.8,4.9,🎄 Winter Efteling
2023-01-02,160,De Vliegende Hollander Single-rider,12,30,52,45,Quiet,8.8,8.8,0.21,0.31,4.8,4.9,🎄 Winter Efteling
2023-01-02,160,Droomvlucht,NA,NA,0,45,Quiet,8.8,8.8,0.21,0.31,4.8,4.9,🎄 Winter Efteling
2023-01-02,160,Fabula,9,10,99,45,Quiet,8.8,8.8,0.21,0.31,4.8,4.9,🎄 Winter Efteling
2023-01-02,160,Fata Morgana,9,30,100,45,Quiet,8.8,8.8,0.21,0.31,4.8,4.9,🎄 Winter Efteling
2023-01-02,160,Gondoletta,5,5,61,45,Quiet,8.8,8.8,0.21,0.31,4.8,4.9,🎄 Winter Efteling
2023-01-02,160,Halve Maen,15,20,99,45,Quiet,8.8,8.8,0.21,0.31,4.8,4.9,🎄 Winter Efteling
2023-01-02,160,Joris en de Draak,NA,NA,0,45,Quiet,8.8,8.8,0.21,0.31,4.8,4.9,🎄 Winter Efteling
